Minutes from midnight,Days,Is business,MAX BATP001,MIN BATP001,AVG BATP001,DIFF BATP001,SEC BATP001,MAX BATP002,MIN BATP002,AVG BATP002,DIFF BATP002,SEC BATP002,MAX BATP003,MIN BATP003,AVG BATP003,DIFF BATP003,SEC BATP003,MAX BATP004,MIN BATP004,AVG BATP004,DIFF BATP004,SEC BATP004,MAX BATP005,MIN BATP005,AVG BATP005,DIFF BATP005,SEC BATP005,MAX BATP006,MIN BATP006,AVG BATP006,DIFF BATP006,SEC BATP006,MAX BATP007,MIN BATP007,AVG BATP007,DIFF BATP007,SEC BATP007,MAX BATP008,MIN BATP008,AVG BATP008,DIFF BATP008,SEC BATP008,MAX BATP009,MIN BATP009,AVG BATP009,DIFF BATP009,SEC BATP009,MAX BATP010,MIN BATP010,AVG BATP010,DIFF BATP010,SEC BATP010,MAX BATP011,MIN BATP011,AVG BATP011,DIFF BATP011,SEC BATP011,MAX BATP012,MIN BATP012,AVG BATP012,DIFF BATP012,SEC BATP012,MAX BATP013,MIN BATP013,AVG BATP013,DIFF BATP013,SEC BATP013,MAX BATP101,MIN BATP101,AVG BATP101,DIFF BATP101,SEC BATP101,MAX BATP102,MIN BATP102,AVG BATP102,DIFF BATP102,SEC BATP102,MAX BATP103,MIN BATP103,AVG BATP103,DIFF BATP103,SEC BATP103,MAX BATV001,MIN BATV001,AVG BATV001,DIFF BATV001,SEC BATV001,MAX BATV002,MIN BATV002,AVG BATV002,DIFF BATV002,SEC BATV002,MAX BATV003,MIN BATV003,AVG BATV003,DIFF BATV003,SEC BATV003,MAX BATV004,MIN BATV004,AVG BATV004,DIFF BATV004,SEC BATV004,MAX BATV005,MIN BATV005,AVG BATV005,DIFF BATV005,SEC BATV005,MAX BATV006,MIN BATV006,AVG BATV006,DIFF BATV006,SEC BATV006,MAX BATV007,MIN BATV007,AVG BATV007,DIFF BATV007,SEC BATV007,MAX BATV008,MIN BATV008,AVG BATV008,DIFF BATV008,SEC BATV008,MAX BATV009,MIN BATV009,AVG BATV009,DIFF BATV009,SEC BATV009,MAX BATV010,MIN BATV010,AVG BATV010,DIFF BATV010,SEC BATV010,MAX BATV011,MIN BATV011,AVG BATV011,DIFF BATV011,SEC BATV011,MAX BATV012,MIN BATV012,AVG BATV012,DIFF BATV012,SEC BATV012,MAX BATV013,MIN BATV013,AVG BATV013,DIFF BATV013,SEC BATV013,MAX BATV101,MIN BATV101,AVG BATV101,DIFF BATV101,SEC BATV101,MAX BATV102,MIN BATV102,AVG BATV102,DIFF BATV102,SEC BATV102,MAX BATV103,MIN BATV103,AVG BATV103,DIFF BATV103,SEC BATV103,VAL D001,N D001,SEC D001,VAL D002,N D002,SEC D002,VAL D003,N D003,SEC D003,VAL L001,N L001,SEC L001,VAL L002,N L002,SEC L002,VAL L003,N L003,SEC L003,VAL L004,N L004,SEC L004,VAL L005,N L005,SEC L005,VAL L006,N L006,SEC L006,VAL L007,N L007,SEC L007,VAL L008,N L008,SEC L008,MAX LL001,MIN LL001,AVG LL001,DIFF LL001,SEC LL001,MAX LS001,MIN LS001,AVG LS001,DIFF LS001,SEC LS001,MAX LS002,MIN LS002,AVG LS002,DIFF LS002,SEC LS002,MAX LS003,MIN LS003,AVG LS003,DIFF LS003,SEC LS003,MAX LS004,MIN LS004,AVG LS004,DIFF LS004,SEC LS004,MAX LS005,MIN LS005,AVG LS005,DIFF LS005,SEC LS005,MAX LS006,MIN LS006,AVG LS006,DIFF LS006,SEC LS006,MAX LS007,MIN LS007,AVG LS007,DIFF LS007,SEC LS007,MAX LS008,MIN LS008,AVG LS008,DIFF LS008,SEC LS008,MAX LS009,MIN LS009,AVG LS009,DIFF LS009,SEC LS009,MAX LS010,MIN LS010,AVG LS010,DIFF LS010,SEC LS010,MAX LS011,MIN LS011,AVG LS011,DIFF LS011,SEC LS011,MAX LS012,MIN LS012,AVG LS012,DIFF LS012,SEC LS012,MAX LS013,MIN LS013,AVG LS013,DIFF LS013,SEC LS013,VAL M001,N M001,SEC M001,VAL M002,N M002,SEC M002,VAL M003,N M003,SEC M003,VAL M005,N M005,SEC M005,VAL MA004,N MA004,SEC MA004,VAL MA006,N MA006,SEC MA006,VAL MA007,N MA007,SEC MA007,VAL MA008,N MA008,SEC MA008,VAL MA009,N MA009,SEC MA009,VAL MA010,N MA010,SEC MA010,VAL MA011,N MA011,SEC MA011,VAL MA012,N MA012,SEC MA012,VAL MA013,N MA013,SEC MA013,MAX T101,MIN T101,AVG T101,DIFF T101,SEC T101,MAX T102,MIN T102,AVG T102,DIFF T102,SEC T102,MAX T103,MIN T103,AVG T103,DIFF T103,SEC T103,TIME Toilet,TIME Eat_Lunch,TIME Drink,TIME Dress,TIME Enter_Home,TIME Sleep_Out_Of_Bed,TIME Entertain_Guests,TIME Phone,TIME Cook_Dinner,TIME Cook_Breakfast,TIME Take_Medicine,TIME Eat,TIME Cook_Lunch,TIME Watch_TV,TIME Sleep,TIME Step_Out,TIME Bed_Toilet_Transition,TIME Wash_Dishes,TIME Bathe,TIME Cook,TIME Evening_Meds,TIME Personal_Hygiene,TIME Morning_Meds,TIME Wash_Breakfast_Dishes,TIME Read,TIME Wash_Dinner_Dishes,TIME Groom,TIME Leave_Home,TIME Relax,TIME Eat_Breakfast,TIME Eat_Dinner,TIME Work_At_Table,TIME Work_On_Computer,TIME Wash_Lunch_Dishes,TO PREDICT
1301,167,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9140,0,2785.161111111111,9140,1097,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9460,0,6445.938888888889,9460,2453,9360,0,6669.0,9360,2565,0,0,0.0,0,3600,0,0,0.0,0,3600,9480,0,3362.766666666667,9480,1277,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,1,2482,1,2,1236,0,0,3600,0,0,3600,0,0,3600,0,1,2473,0,0,3600,0,0,3600,0,0,0.0,0,3600,9,0,2.2183333333333333,9,688,26,0,10.036944444444444,26,1039,33,0,12.799722222222222,33,455,31,1,20.885,30,442,16,0,4.844444444444444,16,1034,29,0,19.636111111111116,29,2370,36,0,35.679722222222225,36,1800,28,0,19.09888888888889,28,1848,33,0,22.38583333333333,33,1780,17,0,4.497222222222222,17,686,36,0,3.49,36,2473,0,0,0.0,0,3600,3,0,0.6425,3,771,0,0,3600,0,58,1039,0,8,1042,0,14,1034,0,80,1038,0,30,1023,0,14,2391,0,24,1031,0,28,1029,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,26,0,14.941666666666666,26,318,25,0,19.256944444444443,25,2773,0,0,0,0,0,0,0,0,0,0,0,222,0,1123,0,0,0,249,0,0,0,0,0,0,1029,0,0,0,0,0,0,0,0,0,Sleep_Out_Of_Bed
1364,167,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,10,0,8.493333333333334,10,1464,0,0,0.0,0,3600,34,0,22.62611111111111,34,31,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,36,0,15.5675,36,1548,28,0,12.09361111111111,28,1552,34,0,24.24222222222222,34,1545,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,3,0,1.1225,3,947,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,26,1561,0,8,1481,0,6,1552,0,18,1482,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,0,0,0,0,0,0,0,0,Personal_Hygiene
1433,167,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,25,0,24.406666666666663,25,1186,33,32,32.15777777777778,1,0,27,0,26.08,27,2388,0,0,0.0,0,3600,29,0,16.889444444444443,29,938,35,0,14.106944444444444,35,1451,27,0,24.96,27,3328,33,0,18.320833333333333,33,1717,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,2,0,1.8427777777777776,2,3317,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,2,1717,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,26,0,7.956944444444445,26,527,0,0,0.0,0,3600,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal_Hygiene
53,168,False,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9440,0,1169.5111111111112,9440,446,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9460,0,6643.022222222222,9460,2528,0,0,0.0,0,3600,0,0,0.0,0,3600,9420,0,1528.1333333333334,9420,584,9500,0,3319.722222222222,9500,1258,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,1,2,610,0,0,3600,0,1,464,0,0,3600,0,0,3600,0,1,1267,0,0,3600,1,1,1260,0,0,3600,0,0,0.0,0,3600,8,0,1.3333333333333333,8,246,25,0,21.77027777777778,25,436,33,0,23.24,33,464,27,1,22.93722222222222,26,463,11,0,2.419722222222222,11,437,28,0,0.0388888888888888,28,1266,36,0,19.969444444444445,36,1266,28,0,2.138611111111111,28,1266,33,0,20.75583333333333,33,1266,10,0,1.4544444444444444,10,431,11,0,0.7180555555555556,11,235,11,0,1.416388888888889,11,229,38,0,11.67,38,14,0,0,3600,0,8,436,0,0,3600,0,6,433,0,8,437,0,2,1265,0,4,1270,0,10,433,0,10,1269,0,6,431,0,0,3600,0,34,229,0,102,604,0,0,0.0,0,3600,26,0,21.29111111111111,26,2948,26,0,0.3394444444444444,26,47,0,0,0,117,0,2323,0,0,0,0,0,0,0,0,430,0,0,0,0,0,25,643,0,0,0,0,0,0,0,0,0,0,0,0,Toilet
116,168,False,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,1,2043,0,0,3600,0,0,3600,0,0,3600,0,1,1997,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,1,0,0.2658333333333333,1,2042,0,0,0.0,0,3600,2,0,0.005,2,2036,2,0,0.1755555555555555,2,1446,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,21,0,7.074166666666667,21,680,43,0,11.463888888888889,43,1267,43,0,14.383055555555556,43,1268,21,0,0.1055555555555555,21,1996,0,0,3600,0,4,2036,0,0,3600,0,6,2032,0,4,2036,0,0,3600,0,0,3600,0,4,2032,0,0,3600,0,12,1819,0,8,1399,0,90,1403,0,12,1827,0,0,0.0,0,3600,26,0,17.762777777777778,26,1343,27,0,14.703611111111112,27,1418,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3358,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,Personal_Hygiene
193,168,False,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9460,0,6524.772222222222,9460,2483,9400,0,6405.055555555556,9400,2453,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,3110,3110,3109.136111111111,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,25,0,21.381944444444443,25,3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal_Hygiene
259,168,False,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9460,9460,9457.372222222222,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal_Hygiene
364,168,False,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9320,0,6619.788888888889,9320,2557,0,0,0.0,0,3600,9460,9460,9457.372222222222,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,1,0,0.1666666666666666,1,1341,0,0,0.0,0,3600,1,0,0.1666666666666666,1,1350,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,6,2376,0,10,2402,0,0,3600,34,0,33.263333333333335,34,3522,0,0,0.0,0,3600,24,0,17.666666666666668,24,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal_Hygiene
445,168,False,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9100,9100,9097.472222222224,0,3600,9420,0,554.7333333333333,9420,212,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9380,0,4835.911111111112,9380,1856,9480,0,6322.633333333333,9480,2401,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,3,0,1.9372222222222224,3,1387,4,0,2.6591666666666667,4,791,2,0,1.2244444444444444,2,1408,5,0,3.000833333333333,5,1401,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal_Hygiene
512,168,False,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9500,0,4715.694444444444,9500,1787,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,3110,0,609.9055555555556,3110,706,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,1,1,603,1,1,566,1,1,489,0,0,0.0,0,3600,3,0,0.1341666666666666,3,161,4,0,0.0033333333333333,4,3,3,0,0.3266666666666666,3,392,3,0,0.4416666666666666,3,530,10,0,0.025,10,9,7,0,5.798333333333333,7,579,8,0,6.6338888888888885,8,584,5,3,3.8325,2,0,9,0,7.151111111111111,9,593,17,0,2.8383333333333334,17,570,40,0,7.029444444444445,40,603,40,0,7.0325,40,581,45,0,6.468333333333334,45,474,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,2,1717,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,2,567,0,8,1043,0,18,577,0,26,471,0,0,0.0,0,3600,0,0,0.0,0,3600,26,0,3.057777777777778,26,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023,0,0,0,483,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,Groom
572,168,False,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9460,0,1805.2833333333333,9460,687,9440,0,7968.933333333333,9440,3039,0,0,0.0,0,3600,0,0,0.0,0,3600,9460,0,7688.877777777778,9460,2926,9400,0,6298.0,9400,2412,9440,0,5323.111111111111,9440,2030,0,0,0.0,0,3600,9460,0,6343.455555555555,9460,2414,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,2,672,0,0,3600,0,0,3600,1,1,3079,1,1,2615,1,1,3064,1,1,2413,0,0,3600,0,1,2630,0,1,3087,0,0,0.0,0,3600,12,0,8.270833333333334,12,78,32,0,23.677222222222223,32,1090,39,0,29.941388888888888,39,490,32,0,25.26,32,102,15,0,11.849722222222224,15,633,33,0,21.18722222222222,33,46,40,0,25.721666666666668,40,51,32,0,14.013333333333334,32,37,37,0,24.3425,37,751,27,17,23.25638888888889,10,30,46,0,36.13944444444444,46,637,45,0,36.44833333333333,45,1888,45,0,11.584444444444443,45,26,0,6,675,0,74,688,0,58,2286,0,32,633,0,78,688,0,28,636,0,18,647,0,28,631,0,24,1947,0,18,624,0,0,3600,0,84,612,0,108,625,35,0,10.791666666666666,35,1110,0,0,0.0,0,3600,27,0,23.1175,27,831,0,0,262,46,0,0,0,0,0,239,0,0,0,0,0,0,0,0,78,0,0,33,0,0,0,0,430,0,0,1384,0,0,622,0,Wash_Breakfast_Dishes
640,168,False,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,2,304,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,1,1219,0,0,3600,0,0,3600,0,0,0.0,0,3600,10,0,3.153888888888889,10,311,28,0,9.61111111111111,28,3,35,0,31.0325,35,1,30,0,27.785833333333333,30,16,15,0,4.868611111111111,15,620,32,0,31.07555555555556,32,3496,39,0,37.71888888888889,39,2188,31,0,29.44388888888889,31,43,36,36,35.99,0,3600,26,0,23.45083333333333,26,637,45,0,37.66388888888889,45,119,45,0,11.233611111111111,45,51,3,0,0.8966666666666666,3,1076,0,14,304,1,77,3,0,96,1,0,22,619,1,99,20,0,0,3600,0,0,3600,0,16,634,0,0,3600,0,14,635,0,2,717,0,42,638,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,297,0,0,0,0,0,457,0,0,0,0,0,0,0,0,2227,0,Wash_Dishes
